대분류,중분류,소분류,위도,경도,지점코드
서울특별시,,,37.5636,126.98,1100000000
경기도,성남시분당구,구미1동,37.348148,127.10173,4113566500
경기도,성남시분당구,구미동,37.33675556,127.1230306,4113567000
경기도,성남시분당구,금곡동,37.348148,127.10173,4113566200
경기도,성남시분당구,백현동,37.394241,127.102524,4113565700
경기도,성남시분당구,분당동,37.36728333,127.1332,4113551000
경기도,성남시분당구,삼평동,37.394241,127.102524,4113565500
경기도,성남시분당구,서현1동,37.37983056,127.1278889,4113558000
경기도,성남시분당구,서현2동,37.37319444,127.1366667,4113559000
경기도,성남시분당구,수내1동,37.37258333,127.1201306,4113552000
경기도,성남시분당구,수내2동,37.36955278,127.1229417,4113553000
경기도,성남시분당구,수내3동,37.36399722,127.128275,4113554000
경기도,성남시분당구,야탑1동,37.40921389,127.1323194,4113562000
경기도,성남시분당구,야탑2동,37.406575,127.1294194,4113563000
경기도,성남시분당구,야탑3동,37.40799722,127.1400222,4113564000
경기도,성남시분당구,운중동,37.39204167,127.0803667,4113568000
경기도,성남시분당구,이매1동,37.39673889,127.1292444,4113560000
경기도,성남시분당구,이매2동,37.39675556,127.1239861,4113561000
경기도,성남시분당구,정자1동,37.35865833,127.1135861,4113555000
경기도,성남시분당구,정자2동,37.36313611,127.1173111,4113556000
경기도,성남시분당구,정자3동,37.35796389,127.1216333,4113557000
경기도,성남시분당구,판교동,37.37924722,127.1032,4113565000
경기도,성남시수정구,고등동,37.42223333,127.1036417,4113164000
경기도,성남시수정구,단대동,37.44666667,127.1574194,4113159000
경기도,성남시수정구,복정동,37.46272222,127.1292889,4113162000
경기도,성남시수정구,산성동,37.44947222,127.1522528,4113160000
경기도,성남시수정구,수진1동,37.43572222,127.1411111,4113157000
경기도,성남시수정구,수진2동,37.43458333,127.1307528,4113158000
경기도,성남시수정구,시흥동,37.41921389,127.1102333,4113165000
경기도,성남시수정구,신촌동,37.45188611,127.1065194,4113163000
경기도,성남시수정구,신흥1동,37.44023889,127.143275,4113151000
경기도,성남시수정구,신흥2동,37.44585278,127.1478889,4113152000
경기도,성남시수정구,신흥3동,37.44073333,127.1510861,4113153000
경기도,성남시수정구,양지동,37.45211111,127.1631111,4113161000
경기도,성남시수정구,태평1동,37.43785833,127.1283333,4113154000
경기도,성남시수정구,태평2동,37.44486667,127.1408,4113155000
경기도,성남시수정구,태평3동,37.44261667,127.1350222,4113156000
경기도,성남시수정구,태평4동,37.44513889,127.1434639,4113156100
서울특별시,송파구,,37.5335,127.1055,1171000000,1171000000
서울특별시,송파구,가락1동,37.49375,127.1076861,1171063100,1171063100
서울특별시,송파구,가락2동,37.49584444,127.1286417,1171063200,1171063200
서울특별시,송파구,가락본동,37.49277222,127.1239111,1171062000,1171062000
서울특별시,송파구,거여1동,37.49410833,127.1454083,1171053100,1171053100
서울특별시,송파구,거여2동,37.49068611,127.149,1171053200,1171053200
서울특별시,송파구,마천1동,37.49322222,127.1520889,1171054000,1171054000
서울특별시,송파구,마천2동,37.494075,127.1506778,1171055000,1171055000
서울특별시,송파구,문정1동,37.48719167,127.1262,1171064100,1171064100
서울특별시,송파구,문정2동,37.48705278,127.1130639,1171064200,1171064200
서울특별시,송파구,방이1동,37.50814722,127.1260111,1171056100,1171056100
서울특별시,송파구,방이2동,37.51175556,127.1165333,1171056200,1171056200
서울특별시,송파구,삼전동,37.49997778,127.0946417,1171061000,1171061000
서울특별시,송파구,석촌동,37.500775,127.1057528,1171060000,1171060000
서울특별시,송파구,송파1동,37.50313056,127.1118194,1171058000,1171058000
서울특별시,송파구,송파2동,37.49943611,127.1189111,1171059000,1171059000
서울특별시,송파구,오금동,37.50015,127.1302444,1171057000,1171057000
서울특별시,송파구,오륜동,37.51258889,127.1365,1171056600,1171056600
서울특별시,송파구,잠실2동,37.51191389,127.089975,1171067000,1171067000
서울특별시,송파구,잠실3동,37.50448889,127.0964111,1171068000,1171068000
서울특별시,송파구,잠실4동,37.51644444,127.1100556,1171069000,1171069000
서울특별시,송파구,잠실6동,37.51538333,127.1026528,1171071000,1171071000
서울특별시,송파구,잠실7동,37.50586111,127.0791333,1171072000,1171072000
서울특별시,송파구,잠실본동,37.50335556,127.0864194,1171065000,1171065000
서울특별시,송파구,장지동,37.48413611,127.1345333,1171064600,1171064600
서울특별시,송파구,풍납1동,37.53524722,127.1242444,1171051000,1171051000
서울특별시,송파구,풍납2동,37.52595,127.1188639,1171052000,1171052000
서울특별시,강남구,,37.5341,127.0474,1168000000
서울특별시,강남구,개포1동,37.47909722,127.0595556,1168066000
서울특별시,강남구,개포2동,37.485175,127.0757417,1168067000
서울특별시,강남구,개포4동,37.47602778,127.0537333,1168069000
서울특별시,강남구,논현1동,37.50878889,127.0305111,1168052100
서울특별시,강남구,논현2동,37.51443611,127.0392889,1168053100
서울특별시,강남구,대치1동,37.49050556,127.0638556,1168060000
서울특별시,강남구,대치2동,37.49711111,127.0690194,1168061000
서울특별시,강남구,대치4동,37.49696389,127.0598528,1168063000
서울특별시,강남구,도곡1동,37.48806667,127.0404972,1168065500
서울특별시,강남구,도곡2동,37.47986389,127.0454,1168065600
서울특별시,강남구,삼성1동,37.50904167,127.0575306,1168058000
서울특별시,강남구,삼성2동,37.50838889,127.0480861,1168059000
서울특별시,강남구,세곡동,37.46636667,127.1093639,1168070000
서울특별시,강남구,수서동,37.48602778,127.107,1168075000
서울특별시,강남구,신사동,37.52133889,127.0250222,1168051000
서울특별시,강남구,압구정동,37.533169,127.046783,1168054500
서울특별시,강남구,역삼1동,37.49258333,127.0351444,1168064000
서울특별시,강남구,역삼2동,37.49324722,127.0488556,1168065000
서울특별시,강남구,일원1동,37.48905833,127.0901306,1168073000
서울특별시,강남구,일원2동,37.48934444,127.0756861,1168074000
서울특별시,강남구,일원본동,37.48053333,127.0886,1168072000
서울특별시,강남구,청담동,37.533169,127.046783,1168056500
경기도,광주시,,37.4145,127.2578,4161000000
경기도,광주시,경안동,37.40811944,127.2594667,4161051000
경기도,광주시,곤지암읍,37.345925,127.3462,4161025600
경기도,광주시,광남동,37.38661667,127.2321083,4161053000
경기도,광주시,남종면,37.49153333,127.304,4161035000
경기도,광주시,도척면,37.30173611,127.3333333,4161033000
경기도,광주시,송정동,37.41676667,127.2483556,4161052000
경기도,광주시,오포읍,37.36340556,127.2307667,4161025000
경기도,광주시,중부면,37.46049722,127.2470222,4161036000
경기도,광주시,초월읍,37.38274722,127.2908333,4161025300
경기도,광주시,퇴촌면,37.463875,127.3091417,4161034000
서울특별시,성동구,,37.5802,127.0481,1120000000
서울특별시,성동구,금호1가동,37.55206944,127.0239444,1120059000
서울특별시,성동구,금호2.3가동,37.533169,127.046783,1120061500
서울특별시,성동구,금호4가동,37.54447222,127.024475,1120062000
서울특별시,성동구,마장동,37.56343333,127.0475639,1120054000
서울특별시,성동구,사근동,37.55840556,127.0479556,1120055000
서울특별시,성동구,성수1가제1동,37.53895833,127.0519861,1120065000
서울특별시,성동구,성수1가제2동,37.54352778,127.0463639,1120066000
서울특별시,성동구,성수2가제1동,37.53670278,127.0562,1120067000
서울특별시,성동구,성수2가제3동,37.54543056,127.0573333,1120069000
서울특별시,성동구,송정동,37.55172778,127.0717083,1120072000
서울특별시,성동구,옥수동,37.533756,126.988632,1120064500
서울특별시,성동구,왕십리도선동,37.579285,127.047546,1120053500
서울특별시,성동구,왕십리제2동,37.55833611,127.0327111,1120052000
서울특별시,성동구,용답동,37.56136667,127.0574333,1120079000
서울특별시,성동구,응봉동,37.55034722,127.0354972,1120058000
서울특별시,성동구,행당제1동,37.55535278,127.0380778,1120056000
서울특별시,성동구,행당제2동,37.555575,127.0315333,1120057000
서울특별시,마포구,,37.5813,126.9317,1144000000
서울특별시,마포구,공덕동,37.54744167,126.9620889,1144056500
서울특별시,마포구,대흥동,37.55305,126.9448111,1144060000
서울특별시,마포구,도화동,37.5349,126.9521306,1144058500
서울특별시,마포구,망원제1동,37.55243333,126.9077667,1144069000
서울특별시,마포구,망원제2동,37.55756389,126.9043111,1144070000
서울특별시,마포구,상암동,37.57551389,126.8968111,1144074000
