updateTime,2016-03-08
1단계,2단계,3단계,격자 X,격자 Y,경도(초/100),위도(초/100)
서울특별시,,,60,127,126.98000833333333,37.56356944444444
서울특별시,종로구,,60,127,126.98164166666668,37.57037777777778
서울특별시,종로구,청운효자동,60,127,126.9706519,37.5841367
서울특별시,종로구,사직동,60,127,126.97095555555556,37.57326944444445
서울특별시,종로구,삼청동,60,127,126.98397777777778,37.582425
서울특별시,종로구,부암동,60,127,126.96644444444445,37.58985555555556
서울특별시,종로구,평창동,60,127,126.96887777777778,37.60252222222223
서울특별시,종로구,무악동,60,127,126.96120833333333,37.571538888888895
서울특별시,종로구,교남동,60,127,126.9641,37.569075000000005
서울특별시,종로구,가회동,60,127,126.98691111111111,37.57725277777778
서울특별시,종로구,종로1.2.3.4가동,60,127,126.99106666666667,37.567886111111115
서울특별시,종로구,종로5.6가동,60,127,127.00715555555556,37.569211111111116
서울특별시,종로구,이화동,60,127,127.00639722222222,37.57421388888889
서울특별시,종로구,혜화동,60,127,127.00262222222223,37.58398888888889
서울특별시,종로구,창신제1동,61,127,127.01846388888889,37.567936111111116
서울특별시,종로구,창신제2동,60,127,127.01296388888889,37.571644444444445
서울특별시,종로구,창신제3동,60,127,127.01716388888889,37.575047222222224
서울특별시,종로구,숭인제1동,60,127,127.01766388888889,37.575027777777784
서울특별시,종로구,숭인제2동,61,127,127.02205555555555,37.57203611111112
서울특별시,중구,,60,127,126.99964166666666,37.56100277777777
서울특별시,중구,소공동,60,127,126.97910833333333,37.55963055555555
서울특별시,중구,회현동,60,126,126.98144444444445,37.55448333333333
서울특별시,중구,명동,60,127,126.98788888888889,37.55723611111111
서울특별시,중구,필동,60,127,126.99771111111112,37.55735277777777
서울특별시,중구,장충동,60,127,127.00993333333334,37.55911666666666
서울특별시,중구,광희동,60,127,127.00716388888888,37.561730555555556
서울특별시,중구,을지로동,60,127,126.99343055555556,37.5639
서울특별시,중구,신당동,60,127,127.01663333333333,37.55931111111111
서울특별시,중구,다산동,60,126,127.01030833333333,37.55161666666666
서울특별시,중구,약수동,60,126,127.01108611111111,37.54965833333333
서울특별시,중구,청구동,60,126,127.01678888888888,37.55425833333333
서울특별시,중구,신당제5동,61,127,127.02396666666667,37.562330555555555
서울특별시,중구,동화동,61,127,127.02154166666666,37.557227777777776
서울특별시,중구,황학동,61,127,127.02349722222222,37.56466388888889
서울특별시,중구,중림동,60,126,126.9666,37.552033333333334
서울특별시,용산구,,60,126,126.96752222222223,37.536094444444444
서울특별시,용산구,후암동,60,126,126.98026666666667,37.545880555555556
서울특별시,용산구,용산2가동,60,126,126.98756388888889,37.54311944444444
서울특별시,용산구,남영동,60,126,126.97696666666667,37.542833333333334
서울특별시,용산구,청파동,60,126,126.97204166666667,37.54255555555555
서울특별시,용산구,원효로제1동,60,126,126.96834166666667,37.535869444444444
서울특별시,용산구,원효로제2동,59,126,126.95357777777778,37.531591666666664
서울특별시,용산구,효창동,60,126,126.96339722222223,37.53895277777777
서울특별시,용산구,용문동,60,126,126.9596638888889,37.536249999999995
서울특별시,용산구,한강로동,60,126,126.97153333333334,37.526241666666664
서울특별시,용산구,이촌제1동,60,126,126.97535555555555,37.51840277777778
서울특별시,용산구,이촌제2동,59,126,126.95633055555555,37.524030555555555
서울특별시,용산구,이태원제1동,60,126,126.99704166666666,37.529491666666665
서울특별시,용산구,이태원제2동,60,126,126.99184444444444,37.53797222222222
서울특별시,용산구,한남동,60,126,127.00264444444444,37.53188611111111
서울특별시,용산구,서빙고동,60,126,126.99677777777778,37.517605555555555
서울특별시,용산구,보광동,60,126,127.00233333333334,37.52346388888889
서울특별시,성동구,,61,127,127.039,37.56061111111111
서울특별시,성동구,왕십리제2동,61,127,127.03271111111111,37.55833611111111
서울특별시,성동구,왕십리도선동,61,127,127.0255591,37.5677544
서울특별시,성동구,마장동,61,127,127.04756388888889,37.56343333333333
서울특별시,성동구,사근동,61,127,127.04795555555556,37.55840555555555
서울특별시,성동구,행당제1동,61,126,127.03807777777777,37.55535277777778
서울특별시,성동구,행당제2동,61,126,127.03153333333333,37.555575
서울특별시,성동구,응봉동,61,126,127.03549722222222,37.55034722222222
서울특별시,성동구,금호1가동,61,126,127.02394444444444,37.55206944444444
서울특별시,성동구,금호2.3가동,61,126,127.020859,37.553188
서울특별시,성동구,금호4가동,61,126,127.024475,37.54447222222222
서울특별시,성동구,옥수동,60,126,127.013463,37.543717
서울특별시,성동구,성수1가제1동,61,126,127.0519861111111,37.53895833333333
서울특별시,성동구,성수1가제2동,61,126,127.04636388888889,37.543527777777776
서울특별시,성동구,성수2가제1동,61,126,127.0562,37.536702777777776
서울특별시,성동구,성수2가제3동,61,126,127.05733333333333,37.545430555555555
서울특별시,성동구,송정동,61,126,127.07170833333333,37.55172777777778
서울특별시,성동구,용답동,61,127,127.05743333333334,37.561366666666665
서울특별시,광진구,,62,126,127.08453333333333,37.535738888888886
서울특별시,광진구,화양동,61,126,127.07346388888888,37.54378611111111
서울특별시,광진구,군자동,62,126,127.07799722222222,37.55235277777778
서울특별시,광진구,중곡제1동,62,127,127.08216388888889,37.55784166666666
서울특별시,광진구,중곡제2동,62,127,127.08354444444444,37.557475
서울특별시,광진구,중곡제3동,62,127,127.08225277777777,37.565916666666666
서울특별시,광진구,중곡제4동,62,127,127.08935277777778,37.56251111111111
서울특별시,광진구,능동,62,126,127.08264444444444,37.551027777777776
서울특별시,광진구,광장동,62,126,127.10530833333333,37.54421388888888
서울특별시,광진구,자양제1동,62,126,127.08441944444444,37.53168611111111
서울특별시,광진구,자양제2동,62,126,127.08659999999999,37.525999999999996
서울특별시,광진구,자양제3동,61,126,127.07503055555556,37.53103333333333
서울특별시,광진구,자양제4동,61,126,127.06725277777777,37.53748611111111
서울특별시,광진구,구의제1동,62,126,127.08786666666666,37.539674999999995
서울특별시,광진구,구의제2동,62,126,127.09210833333333,37.544438888888884
서울특별시,광진구,구의제3동,62,126,127.09968888888888,37.536138888888885
서울특별시,동대문구,,61,127,127.04214166666667,37.571625000000004
서울특별시,동대문구,용신동,61,127,127.0372169,37.5758185
서울특별시,동대문구,제기동,61,127,127.0377843,37.5830767
서울특별시,동대문구,전농제1동,61,127,127.04986666666666,37.575211111111116
서울특별시,동대문구,전농제2동,61,127,127.05386388888888,37.58170277777778
